SQ2,SQ5AA,Q2,Q3A,Q4,Q6,Q7,Q7A_1_1,Q7A_2_1,Q7A_3_1,Q7A_4_1,Q7A_5_1,Q7A_6_1,Q7A_7_1,Q7A_8_1,Q7A_9_1,Q7A_10_1,Q7A_11_1,Q7A_12_1,Q7A_13_1,Q7A_14_1,Q7A_15_1,Q7A_16_1,Q7A_17_1,Q7A_18_1,Q7A_19_1,Q7A_20_1,Q7A_21_1,Q7A_22_1,Q7A_23_1,Q7A_24_1,Q7A_25_1,Q7A_26_1,Q7A_27_1,Q7A_28_1,Q7A_29_1,Q7A_30_1,Q7A_31_1,Q7A_32_1,Q7A_33_1,Q7A_34_1,Q7A_35_1,Q7A_36_1,Q7A_37_1,Q7A_38_1,Q7A_39_1,Q7A_40_1,Q7A_41_1,Q7A_42_1,Q7A_43_1,Q7A_44_1,Q7A_45_1,Q7A_46_1,Q7A_47_1,Q7A_48_1,Q7A_49_1,Q7A_50_1
32,5,2,3.0,5,2,4,7.0,7.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,5,2,4.0,2,1,5,10.0,10.0,9.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,5,2,4.0,4,1,1,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,5,1,3.0,1,1,5,10.0,10.0,9.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,5,1,3.0,5,1,5,11.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,5,1,2.0,4,2,1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,5,1,3.0,3,2,4,9.0,9.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,5,2,,5,2,3,2.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,5,2,3.0,5,2,2,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,5,1,4.0,5,2,10,11.0,11.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,5,2,4.0,4,2,2,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,5,2,3.0,5,1,4,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,5,1,,3,2,4,9.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,5,1,2.0,5,1,3,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,5,1,3.0,5,1,2,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,5,1,,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,5,1,1.0,2,1,1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,5,1,4.0,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,5,1,2.0,1,2,8,7.0,7.0,7.0,7.0,9.0,6.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,5,2,3.0,5,2,6,8.0,6.0,9.0,8.0,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,5,2,4.0,3,2,10,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,5,1,1.0,4,2,8,10.0,4.0,5.0,5.0,5.0,5.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,5,1,3.0,1,2,2,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,5,2,3.0,5,2,2,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,5,2,2.0,4,2,5,6.0,6.0,9.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,5,1,3.0,5,2,3,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,5,1,4.0,5,1,3,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,5,1,2.0,1,2,5,9.0,9.0,9.0,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,5,1,3.0,5,2,10,4.0,4.0,4.0,4.0,4.0,6.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,5,2,,4,2,1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,5,1,2.0,1,1,2,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,5,1,3.0,5,2,1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,5,2,3.0,2,2,10,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,5,1,3.0,2,1,20,10.0,10.0,9.0,9.0,9.0,8.0,6.0,7.0,8.0,6.0,11.0,11.0,11.0,11.0,9.0,7.0,7.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,5,1,5.0,4,2,3,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,5,1,1.0,2,1,6,5.0,11.0,8.0,8.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,5,2,3.0,4,2,4,8.0,8.0,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,5,1,3.0,5,2,9,8.0,8.0,9.0,9.0,8.0,9.0,6.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,5,1,3.0,1,2,3,8.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,5,1,2.0,3,2,2,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,5,2,2.0,3,2,2,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,5,1,2.0,2,2,10,2.0,2.0,7.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,5,1,3.0,5,2,8,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,5,1,,5,2,5,7.0,7.0,1.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,5,2,4.0,4,2,2,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,5,2,5.0,4,2,3,9.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,5,1,3.0,5,1,7,9.0,8.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,5,1,,4,2,5,9.0,6.0,6.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,5,1,3.0,4,2,12,2.0,2.0,3.0,3.0,3.0,3.0,9.0,9.0,9.0,9.0,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,5,1,3.0,3,2,5,6.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,5,1,4.0,4,1,2,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,5,1,2.0,1,2,35,7.0,8.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,6.0,9.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,9.0,,,,,,,,,,,,,,,
27,5,1,2.0,3,2,20,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,5,2,4.0,3,2,4,10.0,10.0,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,5,1,2.0,4,2,2,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,5,1,5.0,5,1,2,10.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,5,1,,2,2,5,3.0,3.0,9.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,5,2,3.0,5,2,1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,5,2,3.0,5,2,3,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,5,1,3.0,5,2,2,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,5,2,3.0,5,1,4,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,5,1,3.0,1,2,20,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,5,1,,1,2,1,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,5,1,3.0,5,1,20,8.0,8.0,7.0,6.0,8.0,9.0,9.0,7.0,7.0,8.0,9.0,9.0,8.0,8.0,7.0,6.0,7.0,7.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,5,2,5.0,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,5,1,3.0,4,2,3,9.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,5,2,2.0,3,2,5,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,5,1,2.0,2,2,20,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,5,2,1.0,2,2,2,10.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,5,1,2.0,5,2,4,10.0,10.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,5,1,3.0,5,1,3,10.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,5,1,,5,2,6,5.0,5.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,5,1,3.0,4,1,3,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,5,2,,5,2,5,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,5,1,2.0,4,1,3,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,5,2,,5,2,3,7.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,5,1,,5,2,1,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,5,2,2.0,4,2,11,10.0,11.0,9.0,8.0,7.0,9.0,7.0,8.0,10.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,5,1,4.0,5,1,2,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,5,2,3.0,2,2,2,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,5,1,3.0,5,1,2,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,5,1,4.0,5,2,5,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,5,1,3.0,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,5,2,2.0,3,2,12,11.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,5,1,2.0,5,2,3,4.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,5,2,2.0,2,2,1,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,5,1,2.0,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,5,2,2.0,1,2,5,9.0,8.0,8.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,5,1,3.0,3,2,2,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,5,2,5.0,5,1,1,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,5,1,2.0,5,1,2,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,5,2,2.0,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,5,1,3.0,4,1,5,7.0,7.0,7.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,5,2,3.0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,5,1,3.0,3,2,4,9.0,9.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,5,1,2.0,2,2,4,8.0,8.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,5,1,2.0,5,2,3,7.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,5,1,3.0,3,2,5,4.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,5,1,5.0,5,1,2,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,5,2,3.0,5,2,1,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,5,1,3.0,5,2,2,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,5,2,2.0,3,2,3,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,5,1,3.0,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,5,1,2.0,5,2,5,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,5,1,4.0,5,2,3,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,5,1,2.0,5,1,8,2.0,3.0,8.0,8.0,8.0,8.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,5,1,2.0,3,2,10,7.0,7.0,7.0,7.0,9.0,9.0,9.0,6.0,6.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,5,1,3.0,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,5,1,,5,2,4,10.0,9.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,5,2,2.0,4,2,3,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,5,2,3.0,3,2,8,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,5,1,3.0,1,2,3,9.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,5,1,2.0,3,2,1,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,5,2,2.0,5,2,1,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,5,1,3.0,5,2,2,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,5,1,2.0,5,2,6,8.0,7.0,7.0,8.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,5,2,3.0,5,2,9,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,5,2,2.0,5,2,3,9.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,5,2,3.0,3,1,3,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,5,1,2.0,1,2,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,5,2,3.0,5,2,2,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,5,1,,5,2,30,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,10.0,12.0,12.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,
42,5,1,2.0,2,2,6,9.0,8.0,7.0,7.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5,1,3.0,1,2,5,2.0,2.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,5,1,1.0,5,1,3,8.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,5,2,2.0,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,5,2,3.0,4,2,3,3.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,5,1,3.0,4,2,2,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,5,1,3.0,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,5,1,3.0,3,2,3,6.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,5,1,3.0,5,2,3,7.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,5,1,3.0,5,2,5,8.0,8.0,8.0,9.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,5,1,2.0,4,2,6,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,5,1,2.0,5,2,3,10.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,5,2,3.0,5,2,10,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,5,1,3.0,4,2,20,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,5,2,3.0,2,2,5,8.0,9.0,9.0,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,5,1,,4,2,5,12.0,12.0,12.0,12.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,5,2,4.0,5,1,5,8.0,9.0,7.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,5,1,3.0,5,2,5,6.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,5,1,3.0,5,2,2,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,5,2,2.0,4,2,7,12.0,9.0,10.0,10.0,11.0,9.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,5,1,2.0,5,2,4,9.0,6.0,10.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,5,1,,5,2,4,2.0,8.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,5,2,2.0,5,2,2,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,5,1,3.0,4,2,3,9.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,5,1,5.0,2,1,11,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,5,1,3.0,5,1,2,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,5,2,3.0,5,2,10,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,5,2,3.0,5,1,16,9.0,9.0,10.0,8.0,10.0,10.0,9.0,11.0,9.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,5,1,4.0,5,1,17,9.0,4.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,5,1,3.0,3,1,7,7.0,7.0,10.0,11.0,9.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,5,1,4.0,2,2,25,10.0,10.0,10.0,7.0,10.0,11.0,7.0,11.0,10.0,10.0,10.0,12.0,11.0,10.0,10.0,9.0,12.0,12.0,8.0,9.0,9.0,9.0,9.0,10.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
68,5,2,2.0,5,2,2,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,5,1,3.0,4,1,10,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,5,2,3.0,5,2,10,9.0,6.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,5,2,4.0,2,1,15,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,5,1,4.0,5,1,6,11.0,10.0,8.0,9.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,5,2,,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,5,1,3.0,3,2,50,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,9.0,7.0,7.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
34,5,1,,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,5,2,4.0,5,1,3,9.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,5,2,3.0,4,2,4,12.0,8.0,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,5,1,4.0,5,1,3,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
